,date_time,locations,east,north,east_g,north_g
162,2023-10-12 11:28:00,Sderot,3851162,3700819,3834037,3699801
163,2023-10-11 21:31:00,Sderot,3851162,3700819,3837734,3702438
164,2023-10-11 21:09:00,Sderot,3851162,3700819,3834672,3702528
165,2023-10-11 20:59:00,Sderot,3851162,3700819,3832547,3698295
166,2023-10-11 20:46:00,Sderot,3851162,3700819,3832981,3697738
167,2023-10-11 17:07:00,Sderot,3851162,3700819,3835146,3703376
168,2023-10-11 16:55:00,Sderot,3851162,3700819,3836334,3702150
169,2023-10-11 16:20:00,Sderot,3851162,3700819,3832932,3698203
170,2023-10-11 11:27:00,Sderot,3851162,3700819,3834470,3698987
171,2023-10-11 09:08:00,Sderot,3851162,3700819,3834952,3703216
172,2023-10-11 08:05:00,Sderot,3851162,3700819,3837837,3702859
173,2023-10-10 17:00:00,Sderot,3851162,3700819,3833972,3701514
174,2023-10-10 16:33:00,Sderot,3851162,3700819,3836096,3700085
175,2023-10-10 14:58:00,Sderot,3851162,3700819,3835174,3700976
176,2023-10-10 14:53:00,Sderot,3851162,3700819,3833199,3699497
177,2023-10-10 13:12:00,Sderot,3851162,3700819,3835823,3703603
178,2023-10-10 11:00:00,Sderot,3851162,3700819,3836956,3700432
179,2023-10-09 20:17:00,Sderot,3851162,3700819,3834856,3700957
180,2023-10-09 20:02:00,Sderot,3851162,3700819,3832079,3698214
181,2023-10-09 19:10:00,Sderot,3851162,3700819,3833881,3698468
182,2023-10-20 23:01:00,Ivim,3852743,3702316,3833866,3699018
183,2023-10-20 21:17:00,Ivim,3852743,3702316,3833956,3699040
184,2023-10-20 21:11:00,Ivim,3852743,3702316,3835962,3700192
185,2023-10-20 21:01:00,Ivim,3852743,3702316,3834230,3700319
186,2023-10-20 20:37:00,Ivim,3852743,3702316,3835575,3700793
187,2023-10-20 20:07:00,Ivim,3852743,3702316,3838444,3701593
188,2023-10-20 10:49:00,Ivim,3852743,3702316,3836079,3701517
189,2023-10-19 21:01:00,Ivim,3852743,3702316,3833902,3701051
190,2023-10-19 16:03:00,Ivim,3852743,3702316,3837036,3703873
191,2023-10-19 15:04:00,Ivim,3852743,3702316,3836191,3702387
192,2023-10-18 13:51:00,Ivim,3852743,3702316,3834559,3701162
193,2023-10-18 12:35:00,Ivim,3852743,3702316,3834262,3700281
194,2023-10-17 18:59:00,Ivim,3852743,3702316,3836518,3702358
195,2023-10-17 16:59:00,Ivim,3852743,3702316,3835212,3698851
196,2023-10-17 15:57:00,Ivim,3852743,3702316,3836580,3703083
197,2023-10-16 21:02:00,Ivim,3852743,3702316,3833737,3701283
198,2023-10-16 14:42:00,Ivim,3852743,3702316,3836834,3703613
199,2023-10-15 23:00:00,Ivim,3852743,3702316,3836160,3703663
200,2023-10-15 12:58:00,Ivim,3852743,3702316,3832377,3698378
201,2023-10-15 12:58:00,Ivim,3852743,3702316,3835679,3700791
202,2023-10-15 11:15:00,Ivim,3852743,3702316,3833656,3698815
203,2023-10-14 16:03:00,Ivim,3852743,3702316,3837501,3701405
204,2023-10-14 09:45:00,Ivim,3852743,3702316,3834569,3699452
205,2023-10-13 23:58:00,Ivim,3852743,3702316,3834794,3701152
206,2023-10-13 15:19:00,Ivim,3852743,3702316,3834421,3700435
207,2023-10-13 13:15:00,Ivim,3852743,3702316,3834383,3699451
208,2023-10-13 12:33:00,Ivim,3852743,3702316,3833759,3698391
209,2023-10-12 16:55:00,Ivim,3852743,3702316,3835753,3701432
210,2023-10-12 11:28:00,Ivim,3852743,3702316,3834844,3703195
211,2023-10-11 21:31:00,Ivim,3852743,3702316,3832969,3698031
212,2023-10-11 21:09:00,Ivim,3852743,3702316,3832908,3699152
213,2023-10-11 20:59:00,Ivim,3852743,3702316,3835684,3703910
214,2023-10-11 20:46:00,Ivim,3852743,3702316,3838663,3702504
215,2023-10-11 17:07:00,Ivim,3852743,3702316,3835806,3699416
216,2023-10-11 16:55:00,Ivim,3852743,3702316,3833884,3697683
217,2023-10-11 16:20:00,Ivim,3852743,3702316,3834688,3703047
218,2023-10-11 11:27:00,Ivim,3852743,3702316,3835928,3700467
219,2023-10-11 09:08:00,Ivim,3852743,3702316,3833977,3697812
220,2023-10-11 08:05:00,Ivim,3852743,3702316,3836322,3701409
221,2023-10-10 17:00:00,Ivim,3852743,3702316,3838137,3702968
222,2023-10-10 16:33:00,Ivim,3852743,3702316,3837029,3703128
223,2023-10-10 14:58:00,Ivim,3852743,3702316,3837631,3703148
224,2023-10-10 14:53:00,Ivim,3852743,3702316,3833277,3700804
225,2023-10-10 13:12:00,Ivim,3852743,3702316,3832751,3699385
226,2023-10-10 11:00:00,Ivim,3852743,3702316,3834376,3698267
227,2023-10-09 20:17:00,Ivim,3852743,3702316,3835858,3704457
228,2023-10-09 20:02:00,Ivim,3852743,3702316,3833823,3697634
229,2023-10-09 19:10:00,Ivim,3852743,3702316,3833494,3700885
230,2023-10-20 23:01:00,Nir Am,3849489,3700266,3834194,3698480
231,2023-10-20 21:17:00,Nir Am,3849489,3700266,3833774,3700116
232,2023-10-20 21:11:00,Nir Am,3849489,3700266,3833596,3697352
233,2023-10-20 21:01:00,Nir Am,3849489,3700266,3833816,3697908
234,2023-10-20 20:37:00,Nir Am,3849489,3700266,3837128,3702945
235,2023-10-20 20:07:00,Nir Am,3849489,3700266,3832540,3699801
236,2023-10-20 10:49:00,Nir Am,3849489,3700266,3835954,3703068
237,2023-10-19 21:01:00,Nir Am,3849489,3700266,3838152,3701342
238,2023-10-19 16:03:00,Nir Am,3849489,3700266,3835932,3703473
239,2023-10-19 15:04:00,Nir Am,3849489,3700266,3832975,3700012
240,2023-10-18 13:51:00,Nir Am,3849489,3700266,3832363,3697944
241,2023-10-18 12:35:00,Nir Am,3849489,3700266,3834113,3697824
242,2023-10-17 18:59:00,Nir Am,3849489,3700266,3834469,3699533
243,2023-10-17 16:59:00,Nir Am,3849489,3700266,3833297,3701240
244,2023-10-17 15:57:00,Nir Am,3849489,3700266,3838577,3701795
245,2023-10-16 21:02:00,Nir Am,3849489,3700266,3831823,3699088
246,2023-10-16 14:42:00,Nir Am,3849489,3700266,3835525,3703024
247,2023-10-15 23:00:00,Nir Am,3849489,3700266,3837373,3703279
248,2023-10-15 12:58:00,Nir Am,3849489,3700266,3835544,3703710
249,2023-10-15 12:58:00,Nir Am,3849489,3700266,3832743,3700354
250,2023-10-15 11:15:00,Nir Am,3849489,3700266,3835888,3700224
251,2023-10-14 16:03:00,Nir Am,3849489,3700266,3832019,3698279
252,2023-10-14 09:45:00,Nir Am,3849489,3700266,3835185,3700461
253,2023-10-13 23:58:00,Nir Am,3849489,3700266,3836248,3704541
254,2023-10-13 15:19:00,Nir Am,3849489,3700266,3837078,3703827
255,2023-10-13 13:15:00,Nir Am,3849489,3700266,3832480,3699121
256,2023-10-13 12:33:00,Nir Am,3849489,3700266,3833312,3699186
257,2023-10-12 16:55:00,Nir Am,3849489,3700266,3834311,3700638
258,2023-10-12 11:28:00,Nir Am,3849489,3700266,3838445,3702348
259,2023-10-11 21:31:00,Nir Am,3849489,3700266,3836134,3704548
260,2023-10-11 21:09:00,Nir Am,3849489,3700266,3837564,3702746
261,2023-10-11 20:59:00,Nir Am,3849489,3700266,3834113,3700949
262,2023-10-11 20:46:00,Nir Am,3849489,3700266,3835331,3700752
263,2023-10-11 17:07:00,Nir Am,3849489,3700266,3837806,3701827
264,2023-10-11 16:55:00,Nir Am,3849489,3700266,3836920,3701487
265,2023-10-11 16:20:00,Nir Am,3849489,3700266,3838663,3702210
266,2023-10-11 11:27:00,Nir Am,3849489,3700266,3835340,3701592
267,2023-10-11 09:08:00,Nir Am,3849489,3700266,3834897,3701349
268,2023-10-11 08:05:00,Nir Am,3849489,3700266,3836499,3703163
269,2023-10-10 17:00:00,Nir Am,3849489,3700266,3834140,3699898
270,2023-10-10 16:33:00,Nir Am,3849489,3700266,3833981,3697819
271,2023-10-10 14:58:00,Nir Am,3849489,3700266,3836319,3700960
272,2023-10-10 14:53:00,Nir Am,3849489,3700266,3835471,3701391
273,2023-10-10 13:12:00,Nir Am,3849489,3700266,3836226,3702552
274,2023-10-10 11:00:00,Nir Am,3849489,3700266,3836238,3700126
275,2023-10-09 20:17:00,Nir Am,3849489,3700266,3834770,3703215
276,2023-10-09 20:02:00,Nir Am,3849489,3700266,3835361,3701762
277,2023-10-09 19:10:00,Nir Am,3849489,3700266,3838670,3701962
278,2023-10-20 22:00:00,Ashkelon - North,3853968,3724719,3836665,3701033
279,2023-10-20 20:00:00,Ashkelon - North,3853968,3724719,3834993,3703114
280,2023-10-20 12:02:00,Ashkelon - North,3853968,3724719,3833231,3697019
281,2023-10-19 21:00:00,Ashkelon - North,3853968,3724719,3836251,3700824
282,2023-10-17 20:01:00,Ashkelon - North,3853968,3724719,3837537,3701843
283,2023-10-17 14:16:00,Ashkelon - North,3853968,3724719,3836891,3702549
284,2023-10-16 18:01:00,Ashkelon - North,3853968,3724719,3835278,3699034
285,2023-10-15 17:59:00,Ashkelon - North,3853968,3724719,3834982,3698908
286,2023-10-14 21:23:00,Ashkelon - North,3853968,3724719,3833793,3699943
287,2023-10-14 21:23:00,Ashkelon - North,3853968,3724719,3838526,3701623
288,2023-10-14 20:58:00,Ashkelon - North,3853968,3724719,3833980,3698975
289,2023-10-14 20:42:00,Ashkelon - North,3853968,3724719,3833940,3698512
290,2023-10-14 17:01:00,Ashkelon - North,3853968,3724719,3834509,3700607
291,2023-10-14 16:04:00,Ashkelon - North,3853968,3724719,3835117,3701102
292,2023-10-14 12:30:00,Ashkelon - North,3853968,3724719,3836384,3699955
293,2023-10-14 11:30:00,Ashkelon - North,3853968,3724719,3833026,3700772
294,2023-10-13 14:00:00,Ashkelon - North,3853968,3724719,3837923,3701723
295,2023-10-13 13:20:00,Ashkelon - North,3853968,3724719,3835318,3700976
296,2023-10-13 12:18:00,Ashkelon - North,3853968,3724719,3833250,3700141
297,2023-10-13 12:05:00,Ashkelon - North,3853968,3724719,3836491,3702975
298,2023-10-13 11:28:00,Ashkelon - North,3853968,3724719,3835260,3699294
299,2023-10-12 18:30:00,Ashkelon - North,3853968,3724719,3835101,3699100
300,2023-10-12 17:48:00,Ashkelon - North,3853968,3724719,3834241,3700084
301,2023-10-12 17:30:00,Ashkelon - North,3853968,3724719,3833770,3701077
302,2023-10-11 16:10:00,Ashkelon - North,3853968,3724719,3837950,3703408
303,2023-10-11 14:08:00,Ashkelon - North,3853968,3724719,3835750,3702229
304,2023-10-11 13:34:00,Ashkelon - North,3853968,3724719,3834329,3701252
305,2023-10-11 13:29:00,Ashkelon - North,3853968,3724719,3833841,3698030
306,2023-10-11 13:24:00,Ashkelon - North,3853968,3724719,3833936,3698710
307,2023-10-11 12:12:00,Ashkelon - North,3853968,3724719,3832140,3698190
308,2023-10-10 21:00:00,Ashkelon - North,3853968,3724719,3837770,3701238
309,2023-10-10 19:29:00,Ashkelon - North,3853968,3724719,3835332,3701164
310,2023-10-10 19:00:00,Ashkelon - North,3853968,3724719,3837158,3701278
311,2023-10-10 18:29:00,Ashkelon - North,3853968,3724719,3836199,3704479
312,2023-10-10 17:30:00,Ashkelon - North,3853968,3724719,3837508,3702597
313,2023-10-10 17:18:00,Ashkelon - North,3853968,3724719,3834263,3702200
314,2023-10-10 17:12:00,Ashkelon - North,3853968,3724719,3837172,3702465
315,2023-10-10 17:07:00,Ashkelon - North,3853968,3724719,3836427,3703144
316,2023-10-10 16:59:00,Ashkelon - North,3853968,3724719,3838249,3702385
317,2023-10-20 22:00:00,Zikim,3842857,3711860,3833426,3698254
318,2023-10-20 20:56:00,Zikim,3842857,3711860,3832597,3698233
319,2023-10-20 19:17:00,Zikim,3842857,3711860,3834705,3699912
320,2023-10-19 21:00:00,Zikim,3842857,3711860,3837530,3700779
321,2023-10-19 17:00:00,Zikim,3842857,3711860,3835826,3704229
322,2023-10-19 12:47:00,Zikim,3842857,3711860,3834602,3699660
323,2023-10-17 20:01:00,Zikim,3842857,3711860,3832876,3697441
324,2023-10-16 18:01:00,Zikim,3842857,3711860,3837006,3703476
325,2023-10-15 17:59:00,Zikim,3842857,3711860,3832761,3700025
326,2023-10-14 21:50:00,Zikim,3842857,3711860,3834160,3699542
327,2023-10-14 20:58:00,Zikim,3842857,3711860,3834387,3700647
328,2023-10-14 16:04:00,Zikim,3842857,3711860,3834312,3701908
329,2023-10-14 12:30:00,Zikim,3842857,3711860,3836135,3704247
330,2023-10-14 11:47:00,Zikim,3842857,3711860,3833577,3700915
331,2023-10-13 21:00:00,Zikim,3842857,3711860,3836999,3701714
332,2023-10-13 19:11:00,Zikim,3842857,3711860,3837312,3702961
333,2023-10-13 19:03:00,Zikim,3842857,3711860,3834627,3701181
334,2023-10-13 13:20:00,Zikim,3842857,3711860,3834248,3698648
335,2023-10-13 12:18:00,Zikim,3842857,3711860,3837370,3702262
336,2023-10-13 12:05:00,Zikim,3842857,3711860,3837069,3700514
337,2023-10-13 11:28:00,Zikim,3842857,3711860,3833377,3699787
338,2023-10-12 18:51:00,Zikim,3842857,3711860,3836410,3700806
339,2023-10-12 18:30:00,Zikim,3842857,3711860,3835338,3703427
340,2023-10-12 17:48:00,Zikim,3842857,3711860,3835922,3702544
341,2023-10-12 17:30:00,Zikim,3842857,3711860,3834821,3701653
342,2023-10-11 21:00:00,Zikim,3842857,3711860,3834765,3701931
343,2023-10-11 20:54:00,Zikim,3842857,3711860,3836062,3703824
344,2023-10-11 17:16:00,Zikim,3842857,3711860,3835763,3701341
345,2023-10-11 16:55:00,Zikim,3842857,3711860,3833303,3700800
346,2023-10-11 16:15:00,Zikim,3842857,3711860,3836218,3701545
347,2023-10-11 16:10:00,Zikim,3842857,3711860,3835147,3700331
348,2023-10-11 15:58:00,Zikim,3842857,3711860,3833668,3697828
349,2023-10-11 14:08:00,Zikim,3842857,3711860,3836803,3700158
350,2023-10-11 13:34:00,Zikim,3842857,3711860,3836924,3700898
351,2023-10-11 13:29:00,Zikim,3842857,3711860,3837282,3702176
352,2023-10-11 13:24:00,Zikim,3842857,3711860,3836529,3703373
353,2023-10-11 12:12:00,Zikim,3842857,3711860,3834965,3699247
354,2023-10-10 21:00:00,Zikim,3842857,3711860,3836275,3703947
355,2023-10-10 19:32:00,Zikim,3842857,3711860,3839168,3702564
356,2023-10-10 19:05:00,Zikim,3842857,3711860,3836366,3700905
357,2023-10-10 18:29:00,Zikim,3842857,3711860,3833510,3699887
358,2023-10-10 17:31:00,Zikim,3842857,3711860,3836267,3701381
359,2023-10-10 17:13:00,Zikim,3842857,3711860,3837433,3700625
360,2023-10-10 17:05:00,Zikim,3842857,3711860,3837249,3703882
361,2023-10-10 17:00:00,Zikim,3842857,3711860,3837458,3703495
362,2023-10-10 14:05:00,Zikim,3842857,3711860,3835102,3698763
